CustomerID,total_spend,order_count,avg_order_value,first_purchase_date,last_purchase_date,days_since_last_purchase,customer_tenure_days,r_score,f_score,m_score,rfm_score,value_tier
16802992,1027.15,71,14.47,2012-03-09,2013-03-19,12,387,1,3,1,5,Bottom 20%
17693343,646.31,64,10.1,2012-03-02,2013-03-17,14,394,1,3,1,5,Bottom 20%
19506471,2639.98,99,26.67,2012-03-04,2013-03-23,8,392,2,4,2,8,Lower 20%
21862750,1395.14,54,25.84,2012-03-04,2013-03-25,6,392,3,2,1,6,Bottom 20%
49332997,2622.42,93,28.2,2012-03-10,2013-03-31,0,386,5,4,2,11,Lower 20%
51441524,3209.96,75,42.8,2012-03-03,2013-03-23,8,393,2,3,3,8,Middle 20%
51868456,3617.45,97,37.29,2012-03-03,2013-03-27,4,393,3,4,3,10,Middle 20%
54888166,597.14,47,12.71,2012-03-16,2013-03-29,2,380,4,2,1,7,Bottom 20%
57608943,886.8,49,18.1,2012-03-03,2013-03-20,11,393,2,2,1,5,Bottom 20%
57674291,822.3,31,26.53,2012-03-12,2013-03-22,9,384,2,1,1,4,Bottom 20%
58161301,5387.72,149,36.16,2012-03-10,2013-03-28,3,386,3,5,4,12,Upper 20%
59638916,5858.6,115,50.94,2012-03-03,2013-03-29,2,393,4,5,4,13,Upper 20%
60456293,9911.67,227,43.66,2012-03-03,2013-03-24,7,393,2,5,5,12,Top 20%
60761302,110.31,7,15.76,2012-05-10,2013-03-01,30,325,1,1,1,3,Bottom 20%
61274786,5509.75,47,117.23,2012-03-05,2013-03-29,2,391,4,2,4,10,Upper 20%
63626446,2037.07,61,33.39,2012-03-02,2013-03-29,2,394,4,3,2,9,Lower 20%
66966448,4229.61,134,31.56,2012-03-08,2013-03-31,0,388,5,5,4,14,Upper 20%
69233695,2064.85,50,41.3,2012-03-06,2013-03-24,7,390,2,2,2,6,Lower 20%
70834566,3566.69,101,35.31,2012-03-02,2013-03-29,2,394,4,4,3,11,Middle 20%
73121994,1905.27,72,26.46,2012-03-03,2013-03-18,13,393,1,3,2,6,Lower 20%
75144651,2159.0,34,63.5,2012-07-21,2013-03-30,1,253,4,1,2,7,Lower 20%
75555091,6392.61,148,43.19,2012-03-06,2013-03-31,0,390,5,5,5,15,Top 20%
77169013,5504.86,129,42.67,2012-03-02,2013-03-30,1,394,4,5,4,13,Upper 20%
77368715,3128.28,75,41.71,2012-03-04,2013-03-25,6,392,3,3,3,9,Middle 20%
80812040,1213.51,117,10.37,2012-03-03,2013-03-30,1,393,4,5,1,10,Bottom 20%
85667880,314.8,26,12.11,2012-03-16,2013-03-15,16,380,1,1,1,3,Bottom 20%
87277803,3282.39,49,66.99,2012-03-03,2013-03-22,9,393,2,2,3,7,Middle 20%
88555468,4534.93,70,64.78,2012-03-13,2013-03-30,1,383,4,3,4,11,Upper 20%
90587177,8024.61,54,148.6,2012-03-05,2013-03-29,2,391,4,2,5,11,Top 20%
91006979,10647.04,120,88.73,2012-03-03,2013-03-31,0,393,5,5,5,15,Top 20%
91859572,255.54,8,31.94,2012-03-15,2013-03-26,5,381,3,1,1,5,Bottom 20%
92736314,5014.85,44,113.97,2012-04-26,2013-03-28,3,339,3,2,4,9,Upper 20%
95020704,2362.12,48,49.21,2012-03-15,2013-03-29,2,381,4,2,2,8,Lower 20%
96497792,2550.77,56,45.55,2012-06-03,2013-03-31,0,301,5,3,2,10,Lower 20%
96995125,7307.64,78,93.69,2012-03-15,2013-03-29,2,381,4,4,5,13,Top 20%
97173003,3797.16,66,57.53,2012-03-03,2013-03-31,0,393,5,3,3,11,Middle 20%
97574112,2894.57,131,22.1,2012-03-06,2013-03-31,0,390,5,5,3,13,Middle 20%
97988427,3290.62,123,26.75,2012-03-02,2013-03-26,5,394,3,5,3,11,Middle 20%
98533128,1461.31,36,40.59,2012-03-02,2013-03-24,7,394,2,2,2,6,Lower 20%
98694452,1075.92,45,23.91,2012-03-03,2013-03-30,1,393,4,2,1,7,Bottom 20%
99049371,7043.62,155,45.44,2012-03-02,2013-03-27,4,394,3,5,5,13,Top 20%
99156631,1690.17,37,45.68,2012-03-04,2013-03-29,2,392,4,2,2,8,Lower 20%
99389472,4754.26,48,99.05,2012-03-04,2013-03-30,1,392,4,2,4,10,Upper 20%
99416039,2076.7,68,30.54,2012-03-04,2013-03-21,10,392,2,3,2,7,Lower 20%
99539357,4150.97,69,60.16,2012-03-04,2013-03-17,14,392,1,3,4,8,Upper 20%
100232207,7971.9,79,100.91,2012-03-06,2013-03-29,2,390,4,4,5,13,Top 20%
100516198,1799.19,66,27.26,2012-03-03,2013-03-29,2,393,4,3,2,9,Lower 20%
100529342,1091.74,82,13.31,2012-03-03,2013-03-31,0,393,5,4,1,10,Bottom 20%
100595372,305.34,26,11.74,2012-03-03,2013-03-30,1,393,4,1,1,6,Bottom 20%
100662797,4826.85,217,22.24,2012-03-02,2013-03-24,7,394,2,5,4,11,Upper 20%
101042547,1077.99,45,23.96,2012-03-02,2013-03-30,1,394,4,2,1,7,Bottom 20%
101043601,4012.82,74,54.23,2012-03-05,2013-03-14,17,391,1,3,4,8,Upper 20%
101098006,538.18,26,20.7,2012-03-20,2013-03-19,12,376,1,1,1,3,Bottom 20%
101241908,2620.61,132,19.85,2012-03-06,2013-03-31,0,390,5,5,2,12,Lower 20%
101259888,5140.89,94,54.69,2012-03-06,2013-03-30,1,390,4,4,4,12,Upper 20%
101270552,954.54,45,21.21,2012-03-03,2013-03-22,9,393,2,2,1,5,Bottom 20%
101345262,3406.57,198,17.2,2012-03-03,2013-03-31,0,393,5,5,3,13,Middle 20%
101558511,6240.79,110,56.73,2012-03-09,2013-03-24,7,387,2,5,5,12,Top 20%
101562262,4095.69,67,61.13,2012-03-02,2013-03-29,2,394,4,3,4,11,Upper 20%
101623425,5162.72,85,60.74,2012-03-05,2013-03-30,1,391,4,4,4,12,Upper 20%
101652627,2852.57,64,44.57,2012-03-03,2013-03-22,9,393,2,3,3,8,Middle 20%
101758988,1422.23,26,54.7,2012-03-02,2013-03-29,2,394,4,1,2,7,Lower 20%
101986094,1194.78,27,44.25,2012-03-06,2013-03-30,1,390,4,1,1,6,Bottom 20%
102592113,260.48,7,37.21,2012-05-21,2013-02-14,45,314,1,1,1,3,Bottom 20%
102622586,1997.13,58,34.43,2012-03-06,2013-03-31,0,390,5,3,2,10,Lower 20%
102775726,3906.57,76,51.4,2012-03-04,2013-03-28,3,392,3,3,3,9,Middle 20%
102842903,4684.86,153,30.62,2012-03-02,2013-03-29,2,394,4,5,4,13,Upper 20%
102861658,2232.89,116,19.25,2012-03-10,2013-03-31,0,386,5,5,2,12,Lower 20%
103055036,8998.47,137,65.68,2012-03-02,2013-03-30,1,394,4,5,5,14,Top 20%
103241253,3788.06,108,35.07,2012-03-02,2013-03-31,0,394,5,4,3,12,Middle 20%
103249375,4044.92,110,36.77,2012-03-07,2013-03-29,2,389,4,5,4,13,Upper 20%
103312863,1494.51,144,10.38,2012-09-18,2013-03-23,8,194,2,5,2,9,Lower 20%
103350869,830.93,43,19.32,2012-03-03,2013-03-16,15,393,1,2,1,4,Bottom 20%
103394300,5976.87,103,58.03,2012-03-03,2013-03-30,1,393,4,4,5,13,Top 20%
103592886,789.06,36,21.92,2012-03-02,2013-03-22,9,394,2,2,1,5,Bottom 20%
103743887,464.13,52,8.93,2012-03-12,2013-03-22,9,384,2,2,1,5,Bottom 20%
103949882,8503.59,53,160.45,2012-03-10,2013-03-17,14,386,1,2,5,8,Top 20%
104104386,4398.35,82,53.64,2012-03-05,2013-03-31,0,391,5,4,4,13,Upper 20%
104264160,3986.77,74,53.88,2012-03-02,2013-03-27,4,394,3,3,3,9,Middle 20%
104296648,9205.99,189,48.71,2012-03-04,2013-03-30,1,392,4,5,5,14,Top 20%
104342993,668.73,13,51.44,2012-05-09,2013-03-30,1,326,4,1,1,6,Bottom 20%
104354556,3610.76,60,60.18,2012-03-05,2013-03-20,11,391,2,3,3,8,Middle 20%
