month,revenue,transactions,active_customers,avg_order_value,new_customers
2009-12-01,686654.16,1512,955,454.14,955
2010-01-01,557319.06,1011,720,551.26,383
2010-02-01,506371.07,1104,772,458.67,374
2010-03-01,699608.99,1524,1057,459.06,443
2010-04-01,594609.19,1329,942,447.41,294
2010-05-01,599985.79,1377,966,435.72,254
2010-06-01,639066.58,1497,1041,426.9,270
2010-07-01,591636.74,1381,928,428.41,186
2010-08-01,604242.65,1293,911,467.32,162
2010-09-01,831615.0,1689,1145,492.37,243
2010-10-01,1036680.0,2133,1497,486.02,377
2010-11-01,1172336.04,2587,1607,453.16,325
2010-12-01,884591.89,1400,885,631.85,76
2011-01-01,569445.04,987,741,576.95,71
2011-02-01,447137.35,997,758,448.48,124
2011-03-01,595500.76,1321,974,450.8,179
2011-04-01,469200.36,1149,856,408.36,106
2011-05-01,678594.56,1555,1056,436.4,111
2011-06-01,661213.69,1393,991,474.67,108
2011-07-01,600091.01,1331,949,450.86,102
2011-08-01,645343.9,1280,935,504.17,106
2011-09-01,952838.38,1755,1266,542.93,189
2011-10-01,1039318.79,1929,1364,538.79,221
2011-11-01,1161817.38,2657,1664,437.27,191
2011-12-01,518210.79,778,615,666.08,28
